year,frm_30,points_30,frm_15,points_15
1991,9.24653846153846,1.946153846153847,8.405,1.7611111111111108
1992,8.39018867924528,1.7245283018867923,7.944905660377357,1.656603773584906
1993,7.314615384615383,1.5980769230769236,6.821923076923076,1.5903846153846157
1994,8.380769230769234,1.7749999999999986,7.8863461538461515,1.7403846153846148
1995,7.934615384615385,1.8192307692307683,7.481923076923078,1.7653846153846156
1996,7.806153846153844,1.7365384615384623,7.316538461538461,1.7096153846153859
1997,7.598846153846153,1.7288461538461546,7.13403846153846,1.7153846153846162
1998,6.94264150943396,1.069811320754717,6.586415094339621,1.0660377358490565
1999,7.439999999999999,0.9826923076923078,7.057884615384615,0.9692307692307691
2000,8.053461538461539,0.967307692307692,7.718269230769232,0.9653846153846151
2001,6.967884615384614,0.8903846153846148,6.502307692307691,0.8980769230769223
2002,6.537307692307692,0.6442307692307695,5.982692307692308,0.6365384615384618
2003,5.826981132075471,0.6075471698113208,5.1709433962264155,0.6056603773584908
2004,5.83923076923077,0.6538461538461541,5.206153846153847,0.6442307692307696
2005,5.866730769230769,0.5923076923076925,5.417884615384614,0.5980769230769233
2006,6.413269230769231,0.48653846153846125,6.066346153846154,0.4807692307692305
2007,6.33730769230769,0.4326923076923077,6.025192307692309,0.44807692307692315
2008,6.027169811320754,0.5792452830188678,5.617169811320754,0.569811320754717
2009,5.03653846153846,0.6923076923076923,4.573846153846156,0.6673076923076925
2010,4.689807692307693,0.7173076923076921,4.095576923076923,0.6673076923076923
2011,4.4478846153846145,0.7173076923076924,3.6842307692307705,0.7096153846153843
2012,3.657500000000001,0.7173076923076925,2.9344230769230757,0.684615384615385
2013,3.9755769230769222,0.7326923076923079,3.100769230769232,0.7
2014,4.168867924528302,0.5924528301886793,3.286037735849057,0.5716981132075473
2015,3.8505769230769222,0.6153846153846158,3.0874999999999995,0.5769230769230773
2016,3.6540384615384616,0.5307692307692309,2.9307692307692315,0.49230769230769234
2017,3.9898076923076924,0.49807692307692303,3.2725000000000013,0.49038461538461536
2018,4.544615384615385,0.4846153846153846,4.000192307692308,0.4499999999999999
2019,3.935769230769231,0.5211538461538463,3.3917307692307688,0.475
2020,3.111698113207547,0.733962264150944,2.6049056603773586,0.6924528301886794
