county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Camden,46559,2922,48622,10360,2.05,9.7,NJ,2001,34,007
Cape May,40353,2700,9530,2066,2.10,9.6,NJ,2001,34,009
Cumberland,36574,2477,18962,4152,3.00,13.9,NJ,2001,34,011
Essex,41672,2504,102909,21850,2.85,13.3,NJ,2001,34,013
Gloucester,53632,3549,15149,3268,1.25,5.9,NJ,2001,34,015
Hudson,38433,2369,83137,17718,2.95,13.8,NJ,2001,34,017
Hunterdon,81678,5750,3645,855,0.70,3.0,NJ,2001,34,019
Mercer,54453,3546,25461,5481,1.65,7.5,NJ,2001,34,021
Middlesex,59439,3653,44593,9470,1.25,5.9,NJ,2001,34,023
Monmouth,66000,4174,33891,7220,1.15,5.5,NJ,2001,34,025
Morris,79070,5147,16020,3586,0.80,3.4,NJ,2001,34,027
Ocean,46015,2978,38107,8193,1.50,7.2,NJ,2001,34,029
Passaic,44897,2911,54757,11677,2.40,11.2,NJ,2001,34,031
Salem,45047,3125,5139,1140,1.80,8.1,NJ,2001,34,033
Somerset,77997,5227,11854,2606,0.90,3.9,NJ,2001,34,035
Sussex,66347,4484,5811,1298,0.85,3.9,NJ,2001,34,037
Union,52937,3274,42624,8982,1.75,8.2,NJ,2001,34,039
Warren,56192,3846,5860,1295,1.20,5.5,NJ,2001,34,041
Atlantic,42245,2780,26111,5785,2.20,10.1,NJ,2002,34,001
Bergen,65164,3946,50601,11145,1.25,5.7,NJ,2002,34,003
Burlington,60181,3863,22936,5102,1.20,5.3,NJ,2002,34,005
Camden,47200,2964,51126,11232,2.20,10.1,NJ,2002,34,007
Cape May,41496,2818,9464,2115,2.10,9.5,NJ,2002,34,009
Cumberland,36846,2516,20010,4527,3.25,14.5,NJ,2002,34,011
Essex,41967,2543,107702,23614,3.05,13.8,NJ,2002,34,013
Gloucester,55416,3697,15650,3494,1.35,5.9,NJ,2002,34,015
Hudson,38455,2370,90584,19909,3.30,15.1,NJ,2002,34,017
Hunterdon,84145,5974,3925,947,0.75,3.1,NJ,2002,34,019
Mercer,54793,3584,27390,6097,1.80,8.0,NJ,2002,34,021
Middlesex,59817,3680,50071,10961,1.45,6.5,NJ,2002,34,023
