county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Warren,71294,3052,8747,1594,1.50,8.3,NJ,2014,34,041
Atlantic,53296,3026,37923,4231,1.60,14.1,NJ,2015,34,001
Bergen,88512,2875,65906,7290,0.80,7.1,NJ,2015,34,003
Burlington,74844,2932,33675,4151,0.90,7.7,NJ,2015,34,005
Camden,63589,3019,65805,7149,1.40,13.1,NJ,2015,34,007
Cape May,55632,3267,9684,2021,2.20,10.5,NJ,2015,34,009
Cumberland,50259,2354,24740,3767,2.60,17.2,NJ,2015,34,011
Essex,52206,1385,131125,8698,1.10,16.8,NJ,2015,34,013
Gloucester,76780,3193,22086,3821,1.30,7.7,NJ,2015,34,015
Hudson,60053,1623,117828,9372,1.40,17.7,NJ,2015,34,017
Hunterdon,102797,3980,6046,1085,0.90,5.0,NJ,2015,34,019
Mercer,72172,2755,39354,4687,1.30,11.2,NJ,2015,34,021
Middlesex,78249,3131,69660,8196,1.00,8.5,NJ,2015,34,023
Monmouth,86722,3242,46641,5557,0.90,7.5,NJ,2015,34,025
Morris,101754,2732,25917,4814,1.00,5.3,NJ,2015,34,027
Ocean,63478,1933,63101,7783,1.30,10.9,NJ,2015,34,029
Passaic,55723,3010,86457,7202,1.40,17.3,NJ,2015,34,031
Salem,63988,4007,7524,1427,2.30,11.9,NJ,2015,34,033
Somerset,99059,4254,18132,3281,1.00,5.5,NJ,2015,34,035
Sussex,84431,5085,7958,1617,1.10,5.6,NJ,2015,34,037
Union,70581,2488,58384,6510,1.20,10.6,NJ,2015,34,039
Warren,71672,4952,8040,1478,1.40,7.7,NJ,2015,34,041
Atlantic,55672,3183,37734,4585,1.70,14.2,NJ,2016,34,001
Bergen,93205,2652,63789,6215,0.70,6.9,NJ,2016,34,003
Burlington,80081,2327,27083,4146,1.00,6.2,NJ,2016,34,005
Camden,65838,2127,60385,7206,1.40,12.0,NJ,2016,34,007
Cape May,59181,3828,10964,1949,2.10,11.9,NJ,2016,34,009
Cumberland,48867,3997,26321,3627,2.50,18.4,NJ,2016,34,011
Essex,54879,2928,126492,9636,1.20,16.3,NJ,2016,34,013
Gloucester,79332,3080,22402,3549,1.20,7.8,NJ,2016,34,015
Hudson,63157,1946,104660,8794,1.30,15.6,NJ,2016,34,017
Hunterdon,113336,5260,5431,921,0.80,4.5,NJ,2016,34,019
Mercer,76988,3107,39066,4551,1.30,11.1,NJ,2016,34,021
Middlesex,82183,2111,69642,6729,0.80,8.6,NJ,2016,34,023
Monmouth,89968,3263,43866,5529,0.90,7.1,NJ,2016,34,025
Morris,107019,3433,26615,4134,0.80,5.4,NJ,2016,34,027
Ocean,62276,1627,64493,7669,1.30,11.0,NJ,2016,34,029
Passaic,61517,2221,85671,7363,1.50,17.2,NJ,2016,34,031
Salem,56071,4189,7868,1224,2.00,12.6,NJ,2016,34,033
Somerset,104668,3739,17318,2858,0.90,5.2,NJ,2016,34,035
Sussex,87549,4074,8460,1539,1.10,6.0,NJ,2016,34,037
Union,71801,2384,58425,6643,1.20,10.6,NJ,2016,34,039
Warren,74834,3983,8708,1459,1.40,8.3,NJ,2016,34,041
Atlantic,59309,3483,38092,4143,1.60,14.4,NJ,2017,34,001
Bergen,93805,2964,62037,7250,0.80,6.6,NJ,2017,34,003
Burlington,86777,3080,28202,4029,0.90,6.5,NJ,2017,34,005
Camden,65817,2491,58696,7151,1.40,11.7,NJ,2017,34,007
Cape May,64450,2988,9486,1742,1.90,10.4,NJ,2017,34,009
Cumberland,51786,3129,26129,3330,2.30,18.4,NJ,2017,34,011
Essex,60284,2008,123806,10428,1.30,15.7,NJ,2017,34,013
Gloucester,84639,4179,19238,3237,1.10,6.7,NJ,2017,34,015
Hudson,65673,3151,96125,9139,1.30,14.1,NJ,2017,34,017
Hunterdon,113083,7030,4793,918,0.80,3.9,NJ,2017,34,019
Mercer,78161,4228,40622,4851,1.40,11.4,NJ,2017,34,021
Middlesex,85187,1841,69518,6878,0.80,8.5,NJ,2017,34,023
Monmouth,97627,2987,45085,5406,0.90,7.3,NJ,2017,34,025
Morris,114269,4580,24225,3780,0.80,4.9,NJ,2017,34,027
Ocean,70493,2315,60406,6516,1.10,10.2,NJ,2017,34,029
Passaic,63127,2969,82865,7341,1.50,16.5,NJ,2017,34,031
Salem,61322,5874,8215,1231,2.00,13.3,NJ,2017,34,033
Somerset,111838,5072,17396,3118,0.90,5.3,NJ,2017,34,035
Sussex,89744,4284,7372,1526,1.10,5.3,NJ,2017,34,037
Union,76830,2421,52052,7398,1.30,9.3,NJ,2017,34,039
Warren,79633,4199,7770,1528,1.50,7.4,NJ,2017,34,041
Atlantic,60826,1701,33167,4613,1.80,12.8,NJ,2018,34,001
Bergen,100181,1606,63403,7302,0.80,6.8,NJ,2018,34,003
Burlington,84470,3358,26786,4820,1.10,6.2,NJ,2018,34,005
Camden,67135,2636,64417,6210,1.20,12.9,NJ,2018,34,007
Cape May,62175,4882,9325,2012,2.20,10.3,NJ,2018,34,009
Cumberland,51790,4103,21430,3793,2.70,15.2,NJ,2018,34,011
Essex,62875,2940,116246,10063,1.30,14.9,NJ,2018,34,013
Gloucester,81315,4282,21869,3527,1.20,7.6,NJ,2018,34,015
Hudson,73337,2139,95704,10273,1.50,14.3,NJ,2018,34,017
Hunterdon,112335,5735,5317,1007,0.80,4.4,NJ,2018,34,019
Mercer,79979,3291,38279,5168,1.50,10.9,NJ,2018,34,021
Middlesex,87666,3090,65823,7524,0.90,8.2,NJ,2018,34,023
Monmouth,99223,2643,41380,5808,0.90,6.7,NJ,2018,34,025
Morris,112396,3607,22980,4092,0.80,4.7,NJ,2018,34,027
Ocean,68483,1849,57366,6994,1.20,9.7,NJ,2018,34,029
Passaic,71959,3074,67374,7805,1.60,13.6,NJ,2018,34,031
Salem,64524,4339,6891,1319,2.10,11.2,NJ,2018,34,033
Somerset,119731,5458,16112,3138,1.00,4.9,NJ,2018,34,035
Sussex,92284,4315,7233,1405,1.00,5.2,NJ,2018,34,037
Union,80737,3457,43279,6953,1.30,7.8,NJ,2018,34,039
Warren,77571,4788,7006,1436,1.40,6.7,NJ,2018,34,041
Atlantic,62678,2822,29057,4251,1.60,11.3,NJ,2019,34,001
Bergen,107971,3025,52980,7662,0.80,5.7,NJ,2019,34,003
Burlington,88443,3233,24961,4374,1.00,5.7,NJ,2019,34,005
Camden,73168,2374,53641,7048,1.40,10.7,NJ,2019,34,007
Cape May,66565,4753,8853,1981,2.20,9.8,NJ,2019,34,009
Cumberland,54179,4177,19261,3288,2.40,13.8,NJ,2019,34,011
Essex,64522,2529,107745,10052,1.30,13.8,NJ,2019,34,013
Gloucester,87996,4946,21602,3278,1.10,7.5,NJ,2019,34,015
Hudson,77738,2514,90976,8368,1.30,13.7,NJ,2019,34,017
Hunterdon,117275,8348,4794,1116,0.90,4.0,NJ,2019,34,019
Mercer,79475,4872,41600,4602,1.30,11.9,NJ,2019,34,021
Middlesex,92770,3290,68514,7328,0.90,8.5,NJ,2019,34,023
Monmouth,102579,2715,37725,5291,0.90,6.2,NJ,2019,34,025
Morris,116328,4641,25678,3949,0.80,5.3,NJ,2019,34,027
Ocean,75627,2657,53950,7903,1.30,9.0,NJ,2019,34,029
Passaic,76039,2039,65342,6566,1.30,13.3,NJ,2019,34,031
Salem,68146,2768,7000,1346,2.20,11.4,NJ,2019,34,033
Somerset,112722,6545,17409,3313,1.00,5.4,NJ,2019,34,035
Sussex,100281,3560,7180,1538,1.10,5.2,NJ,2019,34,037
Union,79953,3459,50094,6908,1.30,9.1,NJ,2019,34,039
Warren,83998,3644,7313,1572,1.50,7.1,NJ,2019,34,041
