county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
Essex,2014,115,0,0,54,61,86,17,64,5,0
Gloucester,2014,0,0,0,0,0,0,0,0,0,0
Hudson,2014,0,0,0,0,0,0,0,0,0,0
Hunterdon,2014,0,0,0,0,0,0,0,0,0,0
Mercer,2014,0,0,0,0,0,0,0,0,0,0
Middlesex,2014,0,0,0,0,0,0,0,0,0,0
Monmouth,2014,1,0,0,0,1,1,1,0,0,0
Morris,2014,0,0,0,0,0,0,0,0,0,0
Ocean,2014,0,0,0,0,0,0,0,0,0,0
Passaic,2014,0,0,0,0,0,0,0,0,0,0
Salem,2014,2,0,0,0,2,0,0,0,0,0
Somerset,2014,0,0,0,0,0,0,0,0,0,0
Sussex,2014,0,0,0,0,0,0,0,0,0,0
Union,2014,0,0,0,0,0,0,0,0,0,0
Warren,2014,0,0,0,0,0,0,0,0,0,0
Atlantic,2013,0,0,0,0,0,0,0,0,0,0
Bergen,2013,4,0,1,0,3,88,4,83,1,0
Burlington,2013,0,0,0,0,0,0,0,0,0,0
Camden,2013,1950,57,55,732,1106,3260,857,1939,464,84
Cape May,2013,0,0,0,0,0,0,0,0,0,0
Cumberland,2013,0,0,0,0,0,1,0,1,0,0
Essex,2013,16,0,0,9,7,26,8,17,1,0
Gloucester,2013,0,0,0,0,0,0,0,0,0,0
Hudson,2013,0,0,0,0,0,0,0,0,0,0
Hunterdon,2013,0,0,0,0,0,0,0,0,0,0
Mercer,2013,0,0,0,0,0,0,0,0,0,0
Middlesex,2013,0,0,0,0,0,0,0,0,0,0
Monmouth,2013,0,0,0,0,0,0,0,0,0,0
Morris,2013,0,0,0,0,0,0,0,0,0,0
Ocean,2013,0,0,0,0,0,0,0,0,0,0
Passaic,2013,0,0,0,0,0,0,0,0,0,0
Salem,2013,0,0,0,0,0,1,0,1,0,0
Somerset,2013,0,0,0,0,0,0,0,0,0,0
Sussex,2013,0,0,0,0,0,0,0,0,0,0
Union,2013,0,0,0,0,0,0,0,0,0,0
Warren,2013,0,0,0,0,0,0,0,0,0,0
Atlantic,2012,0,0,0,0,0,0,0,0,0,0
Bergen,2012,7,0,1,0,6,122,5,112,5,1
Burlington,2012,0,0,0,0,0,0,0,0,0,0
Camden,2012,1,0,0,0,1,2,2,0,0,0
Cape May,2012,0,0,0,0,0,0,0,0,0,0
Cumberland,2012,0,0,0,0,0,2,0,2,0,0
Essex,2012,81,0,4,49,28,84,14,67,3,0
Gloucester,2012,0,0,0,0,0,0,0,0,0,0
Hudson,2012,0,0,0,0,0,0,0,0,0,0
Hunterdon,2012,0,0,0,0,0,0,0,0,0,0
Mercer,2012,0,0,0,0,0,0,0,0,0,0
Middlesex,2012,0,0,0,0,0,0,0,0,0,0
Monmouth,2012,0,0,0,0,0,0,0,0,0,0
Morris,2012,0,0,0,0,0,0,0,0,0,0
Passaic,2012,0,0,0,0,0,0,0,0,0,0
Ocean,2012,0,0,0,0,0,0,0,0,0,0
Salem,2012,3,0,0,0,3,0,0,0,0,0
Somerset,2012,5,0,0,0,5,0,0,0,0,0
Sussex,2012,0,0,0,0,0,0,0,0,0,0
Union,2012,0,0,0,0,0,0,0,0,0,0
Warren,2012,0,0,0,0,0,0,0,0,0,0
