county_code,county_name,district_code,district_name,school_code,school_name,gradespan,rating
23,MIDDLESEX,2150,Highland Park Boro School District,085,Bartle Elementary School,02-05,57.5
23,MIDDLESEX,2370,Jamesburg Public School District,075,Grace M. Breckwedel Middle School,06-08,70.5
23,MIDDLESEX,2370,Jamesburg Public School District,080,John F. Kennedy Elementary School,PK-05,63.5
23,MIDDLESEX,3120,Metuchen Public School District,060,Campbell Elementary School,01-04,67.25
23,MIDDLESEX,3120,Metuchen Public School District,070,Edgar Middle School,05-08,64.5
23,MIDDLESEX,3140,Middlesex Borough School District,085,Von E. Mauger Middle School,04-08,45.5
23,MIDDLESEX,3220,Milltown School District,050,Joyce Kilmer School,04-08,56.25
23,MIDDLESEX,3290,Monroe Township School District,020,Monroe Township Middle School,06-08,45.5
23,MIDDLESEX,3290,Monroe Township School District,030,Woodland School,04-05,53.0
23,MIDDLESEX,3290,Monroe Township School District,050,Brookside Elementary School,03-05,51.5
23,MIDDLESEX,3290,Monroe Township School District,300,Applegarth Elementary School,04-05,58.0
23,MIDDLESEX,3530,New Brunswick School District,055,New Brunswick Middle School,06-08,46.75
23,MIDDLESEX,3530,New Brunswick School District,060,A Chester Redshaw School,PK-05,42.0
23,MIDDLESEX,3530,New Brunswick School District,080,Lincoln Elementary School,PK-06,44.5
23,MIDDLESEX,3530,New Brunswick School District,090,Livingston Elementary School,KG-05,32.0
23,MIDDLESEX,3530,New Brunswick School District,100,Lord Stirling Elementary School,PK-05,61.0
23,MIDDLESEX,3530,New Brunswick School District,110,Mckinley Community School,PK-08,34.5
23,MIDDLESEX,3530,New Brunswick School District,123,Paul Robeson Community School for the Arts,PK-08,40.25
23,MIDDLESEX,3530,New Brunswick School District,125,Roosevelt Elementary School,KG-05,50.5
23,MIDDLESEX,3530,New Brunswick School District,140,Woodrow Wilson Elementary School,PK-08,43.5
23,MIDDLESEX,3530,New Brunswick School District,300,Lincoln Annex School,03-08,46.0
23,MIDDLESEX,3620,North Brunswick Township School District,055,Arthur M. Judd,PK-05,46.0
23,MIDDLESEX,3620,North Brunswick Township School District,060,John Adams,KG-05,49.25
23,MIDDLESEX,3620,North Brunswick Township School District,065,Linwood Middle School,06-08,55.25
23,MIDDLESEX,3620,North Brunswick Township School District,070,Livingston Park,KG-05,58.75
23,MIDDLESEX,3620,North Brunswick Township School District,090,Parsons,PK-05,52.0
23,MIDDLESEX,3845,Old Bridge Township School District,082,Alan B. Shepard Elementary School,KG-05,53.0
23,MIDDLESEX,3845,Old Bridge Township School District,103,Carl Sandburg Middle School,06-08,44.0
23,MIDDLESEX,3845,Old Bridge Township School District,105,Cheesequake Elementary School,KG-05,58.5
23,MIDDLESEX,3845,Old Bridge Township School District,108,James A. McDivitt Elementary School,KG-05,62.5
23,MIDDLESEX,3845,Old Bridge Township School District,110,Jonas Salk Middle School,06-08,46.0
23,MIDDLESEX,3845,Old Bridge Township School District,113,Leroy Gordon Cooper Elementary School,KG-05,57.5
23,MIDDLESEX,3845,Old Bridge Township School District,120,Madison Park Elementary School,KG-05,66.5
23,MIDDLESEX,3845,Old Bridge Township School District,130,Memorial Elementary School,KG-05,42.0
23,MIDDLESEX,3845,Old Bridge Township School District,133,M. Scott Carpenter Elementary School,KG-05,62.5
23,MIDDLESEX,3845,Old Bridge Township School District,140,Raymond E. Voorhees Elementary School,KG-05,56.0
23,MIDDLESEX,3845,Old Bridge Township School District,150,Southwood Elementary School,PK-05,59.5
23,MIDDLESEX,3845,Old Bridge Township School District,163,Virgil I. Grissom Elementary School,KG-05,48.0
23,MIDDLESEX,3845,Old Bridge Township School District,165,Walter M. Schirra Elementary School,KG-05,64.0
23,MIDDLESEX,3845,Old Bridge Township School District,170,William A. Miller Elementary School,KG-05,49.5
23,MIDDLESEX,4090,Perth Amboy Public School District,065,Edward J. Patten Elementary School,KG-04,42.0
23,MIDDLESEX,4090,Perth Amboy Public School District,070,Anthony V. Ceres Elementary School,KG-04,46.0
23,MIDDLESEX,4090,Perth Amboy Public School District,130,Herbert N. Richardson 21st Century School,KG-04,50.25
23,MIDDLESEX,4090,Perth Amboy Public School District,140,William C. McGinnis Middle School,05-08,39.5
23,MIDDLESEX,4090,Perth Amboy Public School District,145,James J. Flynn Elementary School,KG-04,50.0
23,MIDDLESEX,4090,Perth Amboy Public School District,150,Samuel E. Shull Middle School,05-08,40.5
23,MIDDLESEX,4090,Perth Amboy Public School District,200,Robert N. Wilentz Elementary School,KG-04,59.5
23,MIDDLESEX,4090,Perth Amboy Public School District,300,Dual Language School,02-06,68.5
23,MIDDLESEX,4130,Piscataway Township School District,053,Conackamack Middle School,06-08,40.0
23,MIDDLESEX,4130,Piscataway Township School District,055,Quibbletown Middle School,06-08,40.25
23,MIDDLESEX,4130,Piscataway Township School District,057,Theodore Schor Middle School,06-08,46.5
23,MIDDLESEX,4130,Piscataway Township School District,060,Arbor Elementary School,04-05,46.0
23,MIDDLESEX,4130,Piscataway Township School District,105,Martin Luther King Elementary School,04-05,57.0
23,MIDDLESEX,4660,Sayreville School District,055,Sayreville Middle School,06-08,45.5
23,MIDDLESEX,4660,Sayreville School District,085,Samsel Upper Elementary School,PK-05,50.0
23,MIDDLESEX,4830,South Amboy School District,030,South Amboy Middle/High School,06-12,39.5
23,MIDDLESEX,4830,South Amboy School District,060,South Amboy Elementary,PK-05,44.0
23,MIDDLESEX,4860,South Brunswick School District,055,Brunswick Acres Elementary School,KG-05,54.0
23,MIDDLESEX,4860,South Brunswick School District,060,Cambridge Elementary School,PK-05,57.75
23,MIDDLESEX,4860,South Brunswick School District,070,Constable Elementary School,KG-05,58.5
23,MIDDLESEX,4860,South Brunswick School District,075,Crossroads South Middle School,06-08,55.0
23,MIDDLESEX,4860,South Brunswick School District,085,Brooks Crossing Elementary School,KG-05,55.5
23,MIDDLESEX,4860,South Brunswick School District,095,Greenbrook Elementary School,KG-05,62.75
23,MIDDLESEX,4860,South Brunswick School District,100,Indian Fields Elementary School,PK-05,54.5
23,MIDDLESEX,4860,South Brunswick School District,110,Monmouth Junction Elementary School,PK-05,58.25
23,MIDDLESEX,4860,South Brunswick School District,150,Crossroads North Middle School,06-08,48.5
23,MIDDLESEX,4910,South Plainfield School District,053,South Plainfield Middle School,07-08,52.5
23,MIDDLESEX,4910,South Plainfield School District,055,John F Kennedy Elementary School,PK-04,53.5
23,MIDDLESEX,4910,South Plainfield School District,058,John E Riley Elementary School,PK-04,63.5
23,MIDDLESEX,4910,South Plainfield School District,060,Franklin Elementary School,PK-04,41.5
23,MIDDLESEX,4910,South Plainfield School District,070,Grant Elementary School,05-06,60.25
23,MIDDLESEX,4910,South Plainfield School District,080,Roosevelt Elementary School,PK-04,49.5
23,MIDDLESEX,4920,South River Public School District,055,South River Middle School,06-08,43.0
23,MIDDLESEX,4920,South River Public School District,065,South River Elementary School,PK-05,50.0
23,MIDDLESEX,4970,Spotswood Public School District,050,E Raymond Appleby Elementary School,02-06,34.0
23,MIDDLESEX,4970,Spotswood Public School District,090,Spotswood Memorial Middle School,06-08,51.0
23,MIDDLESEX,5850,Woodbridge Township School District,045,Avenel Middle School,06-08,46.5
23,MIDDLESEX,5850,Woodbridge Township School District,060,Colonia Middle School,06-08,44.0
23,MIDDLESEX,5850,Woodbridge Township School District,070,Fords Middle School,06-08,43.5
23,MIDDLESEX,5850,Woodbridge Township School District,080,Iselin Middle School,06-08,51.0
23,MIDDLESEX,5850,Woodbridge Township School District,090,Woodbridge Middle School,06-08,39.0
23,MIDDLESEX,5850,Woodbridge Township School District,100,Avenel Street Elementary School,KG-05,44.75
23,MIDDLESEX,5850,Woodbridge Township School District,110,Robert Mascenik Elementary School,KG-05,57.75
23,MIDDLESEX,5850,Woodbridge Township School District,120,Claremont Avenue Elementary School,KG-05,54.5
23,MIDDLESEX,5850,Woodbridge Township School District,140,Ford Avenue Elementary School,KG-05,63.25
23,MIDDLESEX,5850,Woodbridge Township School District,150,Matthew Jago Elementary School,PK-05,48.75
23,MIDDLESEX,5850,Woodbridge Township School District,160,Indiana Avenue Elementary School,KG-05,35.25
23,MIDDLESEX,5850,Woodbridge Township School District,180,Kennedy Park Elementary School,PK-05,48.75
23,MIDDLESEX,5850,Woodbridge Township School District,200,Lafayette Estates Elementary School,KG-05,49.25
23,MIDDLESEX,5850,Woodbridge Township School District,210,Lynn Crest Elementary School,PK-05,50.5
23,MIDDLESEX,5850,Woodbridge Township School District,220,Mawbey Street Elementary School,KG-05,58.75
23,MIDDLESEX,5850,Woodbridge Township School District,230,Menlo Park Terrace Elementary School,KG-05,44.25
23,MIDDLESEX,5850,Woodbridge Township School District,240,Oak Ridge Heights Elementary School,PK-05,64.75
23,MIDDLESEX,5850,Woodbridge Township School District,260,Pennsylvania Avenue Elementary School,KG-05,55.0
23,MIDDLESEX,5850,Woodbridge Township School District,275,Port Reading Avenue Elementary School,PK-05,53.5
23,MIDDLESEX,5850,Woodbridge Township School District,280,Ross Street Elementary School,KG-05,50.75
23,MIDDLESEX,5850,Woodbridge Township School District,320,Woodbine Avenue Elementary School,KG-05,57.5
23,MIDDLESEX,5850,Woodbridge Township School District,402,Oak Tree Road Elementary School,KG-05,61.25
25,MONMOUTH,0100,Asbury Park School District,020,Barack Obama Elementary School,PK-05,34.5
25,MONMOUTH,0100,Asbury Park School District,040,Bradley Elementary School,PK-05,38.5
25,MONMOUTH,0100,Asbury Park School District,070,Dr. Martin Luther King Middle School,06-08,46.0
25,MONMOUTH,0100,Asbury Park School District,100,Thurgood Marshall Elementary School,PK-05,39.25
25,MONMOUTH,0130,Atlantic Highlands School District,020,Atlantic Highlands Elementary School,PK-06,63.5
25,MONMOUTH,0180,Avon Boro School District,010,Avon Elementary School,KG-08,60.5
25,MONMOUTH,0270,Belmar Elementary School District,020,Belmar Elementary,PK-08,56.0
25,MONMOUTH,0500,Bradley Beach School District,020,Bradley Beach Elementary School,PK-08,56.25
25,MONMOUTH,0560,Brielle Boro School District,020,Brielle Elementary School,PK-08,60.25
25,MONMOUTH,0945,Colts Neck Township School District,030,Cedar Drive Middle School,06-08,51.0
25,MONMOUTH,0945,Colts Neck Township School District,050,Conover Road Elementary School,03-05,61.5
25,MONMOUTH,1000,Deal Boro School District,040,Deal Elementary School,KG-08,39.75
25,MONMOUTH,1260,Eatontown Public School District,060,Margaret L Vetter,05-06,72.5
25,MONMOUTH,1260,Eatontown Public School District,070,Memorial Middle School,07-08,42.25
25,MONMOUTH,1260,Eatontown Public School District,110,Woodmere,PK-04,48.0
25,MONMOUTH,1440,Fair Haven School District,050,Knollwood School,04-08,60.5
25,MONMOUTH,1490,Farmingdale Public School District,050,Farmingdale Elementary,PK-08,59.75
25,MONMOUTH,1640,Freehold Borough School District,060,Freehold Intermediate School,06-08,55.5
25,MONMOUTH,1640,Freehold Borough School District,070,Park Avenue Elementary School,03-05,53.5
25,MONMOUTH,1660,Freehold Township School District,020,Joseph J Catena School,KG-05,48.5
25,MONMOUTH,1660,Freehold Township School District,021,C. Richard Applegate School,KG-05,45.5
25,MONMOUTH,1660,Freehold Township School District,023,Clifton T. Barkalow School,06-08,55.5
25,MONMOUTH,1660,Freehold Township School District,024,Dwight D. Eisenhower School,06-08,58.5
25,MONMOUTH,1660,Freehold Township School District,025,Marshall W. Errickson School,KG-05,64.5
25,MONMOUTH,1660,Freehold Township School District,026,Laura Donovan School,KG-05,47.75
25,MONMOUTH,1660,Freehold Township School District,030,West Freehold School,KG-05,47.0
25,MONMOUTH,2105,Hazlet Township Public School District,060,Beers Street School,05-06,59.75
25,MONMOUTH,2105,Hazlet Township Public School District,070,Cove Road School,05-06,57.5
25,MONMOUTH,2105,Hazlet Township Public School District,085,Lillian Drive School,01-04,43.5
25,MONMOUTH,2105,Hazlet Township Public School District,090,Middle Road School,01-04,60.5
25,MONMOUTH,2105,Hazlet Township Public School District,095,Raritan Valley School,01-04,49.0
25,MONMOUTH,2105,Hazlet Township Public School District,105,Hazlet Middle School,07-08,38.5
25,MONMOUTH,2120,Henry Hudson Regional School District,050,Henry Hudson Regional School,07-12,44.75
25,MONMOUTH,2160,Highlands Borough School District,050,Highlands Elementary School,PK-06,46.5
25,MONMOUTH,2230,Holmdel Township School District,030,William R. Satz School,07-08,44.5
25,MONMOUTH,2230,Holmdel Township School District,050,Indian Hill School,04-06,56.0
25,MONMOUTH,2290,Howell Township Public School District,005,Aldrich Elementary School,03-05,42.5
25,MONMOUTH,2290,Howell Township Public School District,010,Ardena Elementary School,03-05,60.25
25,MONMOUTH,2290,Howell Township Public School District,025,Howell Township Middle School North,06-08,50.0
25,MONMOUTH,2290,Howell Township Public School District,027,Howell Township Middle School South,06-08,44.0
25,MONMOUTH,2290,Howell Township Public School District,032,Newbury Elementary School,03-05,57.5
25,MONMOUTH,2290,Howell Township Public School District,035,Ramtown Elementary School,03-05,53.25
25,MONMOUTH,2290,Howell Township Public School District,045,Memorial Elementary School,03-05,49.0
25,MONMOUTH,2400,Keansburg School District,030,Joseph R. Bolger Middle School,06-08,50.25
25,MONMOUTH,2400,Keansburg School District,050,Joseph C. Caruso School,KG-05,36.25
25,MONMOUTH,2430,Keyport School District,060,Keyport Central School,PK-08,59.0
25,MONMOUTH,2720,Little Silver Boro School District,050,Markham Place School,05-08,72.0
25,MONMOUTH,2720,Little Silver Boro School District,060,Point Road School,PK-04,71.25
25,MONMOUTH,2770,LONG BRANCH PUBLIC SCHOOL District,060,Long Branch Middle School,06-08,42.5
25,MONMOUTH,2770,LONG BRANCH PUBLIC SCHOOL District,065,A A Anastasia Elementary School,KG-05,53.5
25,MONMOUTH,2770,LONG BRANCH PUBLIC SCHOOL District,110,Gregory Elementary School,KG-05,41.5
25,MONMOUTH,2770,LONG BRANCH PUBLIC SCHOOL District,300,George L Catrambone,KG-05,55.25
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,050,Clark Mills School,KG-05,75.0
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,055,Lafayette Mills School,01-05,65.25
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,060,Manalapan-Englishtown Middle School,07-08,52.5
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,063,Milford Brook School,KG-05,65.25
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,075,Pine Brook School,06-06,60.0
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,090,Taylor Mills School,KG-05,66.75
25,MONMOUTH,2920,Manalapan-Englishtown Regional Schools School District,110,Wemrock Brook School,01-05,75.5
25,MONMOUTH,2930,Manasquan School District,060,Manasquan Elementary School,PK-08,57.5
25,MONMOUTH,3030,Marlboro Township School District,030,Frank Defino Central Elementary School,KG-05,68.0
25,MONMOUTH,3030,Marlboro Township School District,040,Frank J. Dugan Elementary School,KG-05,51.0
25,MONMOUTH,3030,Marlboro Township School District,045,Marlboro Elementary School,KG-05,52.0
25,MONMOUTH,3030,Marlboro Township School District,048,Marlboro Memorial Middle School,06-08,48.0
25,MONMOUTH,3030,Marlboro Township School District,050,Marlboro Middle School,06-08,47.5
25,MONMOUTH,3030,Marlboro Township School District,060,Robertsville Elementary School,01-05,59.25
25,MONMOUTH,3030,Marlboro Township School District,070,Asher Holmes Elementary School,01-05,58.5
25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,053,Matawan-Aberdeen Middle School,06-08,62.0
25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,065,Lloyd Road Elementary School,04-05,43.5
25,MONMOUTH,3160,Middletown Township Public School District,055,Bayshore Middle School,06-08,51.5
25,MONMOUTH,3160,Middletown Township Public School District,057,Thompson Middle School,06-08,53.0
25,MONMOUTH,3160,Middletown Township Public School District,059,Thorne Middle School,06-08,58.0
25,MONMOUTH,3160,Middletown Township Public School District,060,Bayview Elementary School,KG-05,50.25
25,MONMOUTH,3160,Middletown Township Public School District,080,Ocean Avenue Elementary School,PK-05,43.25
25,MONMOUTH,3160,Middletown Township Public School District,090,Fairview Elementary School,KG-05,68.75
25,MONMOUTH,3160,Middletown Township Public School District,095,Harmony Elementary School,PK-05,46.75
25,MONMOUTH,3160,Middletown Township Public School District,110,Leonardo Elementary School,KG-05,44.25
25,MONMOUTH,3160,Middletown Township Public School District,120,Lincroft Elementary School,KG-05,50.75
25,MONMOUTH,3160,Middletown Township Public School District,130,Middletown Village Elementary School,KG-05,59.75
25,MONMOUTH,3160,Middletown Township Public School District,140,Navesink Elementary School,KG-05,40.75
25,MONMOUTH,3160,Middletown Township Public School District,143,New Monmouth Elementary School,PK-05,47.25
25,MONMOUTH,3160,Middletown Township Public School District,145,Nut Swamp Elementary School,KG-05,60.0
25,MONMOUTH,3160,Middletown Township Public School District,150,Port Monmouth Elementary School,KG-05,42.0
25,MONMOUTH,3160,Middletown Township Public School District,160,River Plaza Elementary School,KG-05,58.5
25,MONMOUTH,3200,Millstone Township School District,040,Millstone Township Middle School,06-08,56.0
25,MONMOUTH,3200,Millstone Township School District,060,Millstone Township Elementary School,03-05,56.0
25,MONMOUTH,3250,Monmouth Beach School District,050,Monmouth Beach Elementary School,PK-08,54.25
25,MONMOUTH,3500,Neptune City School District,060,Woodrow Wilson,PK-08,51.0
25,MONMOUTH,3510,Neptune Township School District,055,Neptune Middle School,06-08,49.5
25,MONMOUTH,3510,Neptune Township School District,061,Gables Elementary School,PK-05,56.5
25,MONMOUTH,3510,Neptune Township School District,063,Green Grove Elementary School,PK-05,31.5
25,MONMOUTH,3510,Neptune Township School District,080,Midtown Community Elementary School,KG-05,40.25
25,MONMOUTH,3510,Neptune Township School District,090,Shark River Hills Elementary School,PK-05,51.5
25,MONMOUTH,3510,Neptune Township School District,100,Summerfield Elementary School,PK-05,51.75
25,MONMOUTH,3810,Township of Ocean School District,040,Township of Ocean Intermediate School,05-08,42.0
25,MONMOUTH,3810,Township of Ocean School District,060,Ocean Township Elementary School,PK-04,52.0
25,MONMOUTH,3810,Township of Ocean School District,070,Wanamassa Elementary School,PK-04,62.5
25,MONMOUTH,3810,Township of Ocean School District,080,Wayside Elementary School,PK-04,48.5
25,MONMOUTH,3830,Oceanport School District,030,Maple Place Middle School,05-08,46.25
25,MONMOUTH,3830,Oceanport School District,050,Wolf Hill School,PK-04,68.0
25,MONMOUTH,4360,Red Bank Borough Public School District,060,Red Bank Middle School,04-08,54.5
25,MONMOUTH,4520,Roosevelt Borough Public School District,050,Roosevelt Public School,PK-06,33.5
25,MONMOUTH,4570,Rumson Borough School District,050,Forrestdale School,04-08,63.0
25,MONMOUTH,4690,Sea Girt Borough School District,050,Sea Girt Elementary School,PK-08,61.75
25,MONMOUTH,4770,Shrewsbury Borough School District,050,Shrewsbury Borough Elementary School,PK-08,52.5
25,MONMOUTH,4980,Spring Lake Borough,050,H W Mountz Elementary School,PK-08,49.25
25,MONMOUTH,4990,Spring Lake Heights School District,050,Spring Lake Heights Elementary School,KG-08,50.75
25,MONMOUTH,5185,Tinton Falls School District,050,Swimming River School,03-05,53.5
25,MONMOUTH,5185,Tinton Falls School District,070,Tinton Falls Middle School,06-08,54.5
25,MONMOUTH,5230,Union Beach Public School District,050,Memorial School,PK-08,51.0
25,MONMOUTH,5310,Upper Freehold Regional School District,060,Newell Elementary School,PK-04,49.25
25,MONMOUTH,5310,Upper Freehold Regional School District,070,Stonebridge Middle School,05-08,51.25
25,MONMOUTH,5420,Wall Township Public School District,060,Allenwood Elementary School,KG-05,42.0
25,MONMOUTH,5420,Wall Township Public School District,070,Central Elementary School,KG-05,49.75
25,MONMOUTH,5420,Wall Township Public School District,075,Wall Intermediate School,06-08,56.5
25,MONMOUTH,5420,Wall Township Public School District,077,Old Mill Elementary School,KG-05,60.5
25,MONMOUTH,5420,Wall Township Public School District,080,West Belmar Elementary School,KG-05,57.25
25,MONMOUTH,5640,West Long Branch School District,050,Frank Antonides School,05-08,48.0
25,MONMOUTH,5640,West Long Branch School District,080,Betty McElmon Elementary School,PK-04,55.5
27,MORRIS,0450,Boonton Town School District,030,John Hill School,03-08,53.5
27,MORRIS,0460,Boonton Township School District,060,Rockaway Valley School,PK-08,45.5
27,MORRIS,0630,Butler Public School District,025,Aaron Decker School,PK-04,53.75
27,MORRIS,0630,Butler Public School District,030,Richard Butler School,05-08,49.75
27,MORRIS,0785,School District of the Chathams,030,Chatham Middle School,06-08,54.0
27,MORRIS,0785,School District of the Chathams,050,Lafayette Avenue School,04-05,59.0
27,MORRIS,0820,Chester School District,020,Black River Middle School,06-08,54.25
27,MORRIS,0820,Chester School District,030,Bragg Elementary School,03-05,65.0
27,MORRIS,1090,Denville Township K-8 School District,050,Lakeview Elementary School,PK-05,58.5
27,MORRIS,1090,Denville Township K-8 School District,070,Riverview Elementary School,KG-05,74.5
27,MORRIS,1090,Denville Township K-8 School District,080,Valleyview Middle School,06-08,51.0
27,MORRIS,1110,Dover Public School District,050,Academy Street Elementary School,PK-06,61.0
27,MORRIS,1110,Dover Public School District,060,East Dover Elementary School,KG-06,59.5
27,MORRIS,1110,Dover Public School District,065,Dover Middle School,07-08,54.0
27,MORRIS,1110,Dover Public School District,070,North Dover Elementary School,PK-06,67.0
27,MORRIS,1190,East Hanover Township School District,030,Central Elementary School,03-05,53.0
27,MORRIS,1190,East Hanover Township School District,050,East Hanover Middle School,06-08,54.5
27,MORRIS,1530,Florham Park School District,020,Brooklake School,03-05,62.75
27,MORRIS,1530,Florham Park School District,030,Ridgedale Middle School,06-08,62.0
27,MORRIS,2000,Hanover Township School District,025,Bee Meadow School,KG-05,54.25
27,MORRIS,2000,Hanover Township School District,040,Memorial Junior School,06-08,55.75
27,MORRIS,2000,Hanover Township School District,050,Mountview Road School,KG-05,52.5
27,MORRIS,2000,Hanover Township School District,060,Salem Drive School,KG-05,55.0
27,MORRIS,2010,Harding Township School District,050,Harding Township School,PK-08,58.5
27,MORRIS,2380,Jefferson Township Public School District,028,Arthur Stanlick Elementary School,03-05,50.5
27,MORRIS,2380,Jefferson Township Public School District,045,Jefferson Township Middle School,06-08,41.0
27,MORRIS,2380,Jefferson Township Public School District,070,White Rock Elementary School,03-05,47.5
27,MORRIS,2460,Kinnelon School District,065,Pearl R. Miller Middle School,06-08,53.25
27,MORRIS,2460,Kinnelon School District,070,Stonybrook Elementary School,KG-05,64.0
27,MORRIS,2650,Lincoln Park School District,035,Lincoln Park Elementary School,PK-04,53.75
27,MORRIS,2650,Lincoln Park School District,040,Lincoln Park Middle School,PK-08,62.5
27,MORRIS,2870,Madison Public School District,060,Central Avenue School,PK-05,61.5
27,MORRIS,2870,Madison Public School District,080,Kings Road School,KG-05,59.0
27,MORRIS,2870,Madison Public School District,100,Madison Junior School,06-08,62.0
27,MORRIS,2870,Madison Public School District,110,Torey J. Sabatini School,KG-05,64.0
27,MORRIS,3090,Mendham Borough School District,050,Hilltop School,PK-04,57.0
27,MORRIS,3090,Mendham Borough School District,060,Mountain View School,05-08,61.5
27,MORRIS,3100,Mendham Township School District,050,Mendham Township Elementary School,PK-04,61.5
27,MORRIS,3100,Mendham Township School District,060,Mendham Township Middle School,05-08,69.25
27,MORRIS,3240,Mine Hill Township School District,030,Canfield Avenue School,PK-06,55.0
27,MORRIS,3340,Montville Township School District,025,Cedar Hill School,PK-05,62.0
27,MORRIS,3340,Montville Township School District,030,Robert R Lazar Middle School,06-08,50.5
27,MORRIS,3340,Montville Township School District,050,Hilldale School,KG-05,68.5
27,MORRIS,3340,Montville Township School District,055,Valley View School,PK-05,63.0
27,MORRIS,3340,Montville Township School District,065,William Mason School,PK-05,62.0
27,MORRIS,3340,Montville Township School District,070,Woodmont School,KG-05,62.5
27,MORRIS,3380,Morris Plains School District,020,Morris Plains Borough School,03-08,57.75
27,MORRIS,3385,Morris School District,060,Alexander Hamilton,03-05,71.75
27,MORRIS,3385,Morris School District,075,Frelinghuysen Middle School,06-08,49.0
27,MORRIS,3385,Morris School District,100,Normandy Park School,KG-05,58.75
27,MORRIS,3385,Morris School District,105,Sussex Avenue School,03-05,44.5
27,MORRIS,3385,Morris School District,110,Thomas Jefferson School,03-05,68.25
27,MORRIS,3410,Mount Arlington Public School District,050,Mount Arlington Public School,03-08,54.0
27,MORRIS,3450,Mount Olive Township School District,040,Mount Olive Middle School,06-08,56.5
27,MORRIS,3450,Mount Olive Township School District,050,Chester M. Stephens Elementary School,KG-05,44.5
27,MORRIS,3450,Mount Olive Township School District,060,Mountain View Elementary School,PK-05,47.25
27,MORRIS,3450,Mount Olive Township School District,065,Sandshore Rd. Elementary School,KG-05,41.0
27,MORRIS,3450,Mount Olive Township School District,070,Tinc Rd. Elementary School,KG-05,39.5
27,MORRIS,3460,Mountain Lakes Public School District,060,Briarcliff Middle School,06-08,55.25
27,MORRIS,3460,Mountain Lakes Public School District,080,Wildwood Elementary School,KG-05,58.0
27,MORRIS,3520,Netcong School District,060,Netcong Elementary School,PK-08,52.75
27,MORRIS,3950,Parsippany-Troy Hills Township School District,055,Brooklawn Middle School,06-08,49.0
27,MORRIS,3950,Parsippany-Troy Hills Township School District,060,Central Middle School,06-08,44.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,062,Eastlake Elementary School,PK-05,57.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,064,Intervale Elementary School,KG-05,56.75
27,MORRIS,3950,Parsippany-Troy Hills Township School District,065,Knollwood Elementary School,KG-05,45.25
27,MORRIS,3950,Parsippany-Troy Hills Township School District,070,Lake Hiawatha Elementary School,PK-05,61.75
27,MORRIS,3950,Parsippany-Troy Hills Township School District,080,Lake Parsippany Elementary School,KG-05,56.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,090,Littleton Elementary School,PK-05,60.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,100,Mount Tabor Elementary School,KG-05,59.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,103,Northvail Elementary School,KG-05,65.5
27,MORRIS,3950,Parsippany-Troy Hills Township School District,107,Rockaway Meadow Elementary School,KG-05,59.75
27,MORRIS,3950,Parsippany-Troy Hills Township School District,120,Troy Hills Elementary School,KG-05,48.25
27,MORRIS,4000,Long Hill Township School District,030,Central Middle School,06-08,61.25
27,MORRIS,4000,Long Hill Township School District,060,Millington Elementary School,02-05,38.25
27,MORRIS,4080,Pequannock Township School District,055,Hillview School,KG-05,62.0
27,MORRIS,4080,Pequannock Township School District,060,North Boulevard School,PK-05,42.5
27,MORRIS,4080,Pequannock Township School District,080,Pequannock Valley School,06-08,51.5
27,MORRIS,4080,Pequannock Township School District,100,Stephen J. Gerace School,KG-05,53.0
27,MORRIS,4330,Randolph Township School District,057,Center Grove School,PK-05,74.0
27,MORRIS,4330,Randolph Township School District,065,Fernbrook School,KG-05,54.5
27,MORRIS,4330,Randolph Township School District,070,Ironia School,KG-05,66.5
27,MORRIS,4330,Randolph Township School District,075,Randolph Middle School,06-08,48.5
27,MORRIS,4330,Randolph Township School District,080,Shongum School,KG-05,55.5
27,MORRIS,4440,Riverdale School District,050,Riverdale School,PK-08,45.25
27,MORRIS,4480,Rockaway Borough School District,050,Thomas Jefferson Middle School,04-08,54.5
27,MORRIS,4490,Rockaway Township School District,010,Birchwood Elementary School,KG-05,58.0
27,MORRIS,4490,Rockaway Township School District,015,Copeland Middle School,06-08,51.5
27,MORRIS,4490,Rockaway Township School District,019,Catherine A Dwyer Elementary School,KG-05,70.0
27,MORRIS,4490,Rockaway Township School District,025,Dennis B O'Brien Elementary School,PK-05,73.5
27,MORRIS,4490,Rockaway Township School District,030,Katharine D Malone Elementary School,KG-05,54.25
27,MORRIS,4490,Rockaway Township School District,080,Stony Brook Elementary School,KG-05,56.0
27,MORRIS,4560,Roxbury Township School District,055,Eisenhower Middle School,07-08,54.5
27,MORRIS,4560,Roxbury Township School District,060,Franklin Elementary School,KG-04,41.0
