county_name,report_type,murder,rape,robbery,assault,burglary,larceny,auto_theft,total
MERCER,Percent Cleared,121.0,356.0,560.0,1170.0,179.0,476.0,127.0,674.0
MERCER,"Rate Per 100,000",36.199999999999996,140.6,329.30000000000007,1062.8,1036.5,5491.200000000001,561.5,8658.2
MIDDLESEX,Number of Arrests,4.0,15.0,60.0,361.0,116.0,718.0,23.0,1297.0
MIDDLESEX,Number of Clearances,5.0,16.0,43.0,373.0,88.0,658.0,22.0,1205.0
MIDDLESEX,Number of Offenses,8.0,56.0,178.0,562.0,629.0,4735.0,454.0,6622.0
MIDDLESEX,Percent Cleared,433.0,541.0,577.0,1723.0,461.0,327.0,251.0,489.0
MIDDLESEX,"Rate Per 100,000",23.7,115.5,352.99999999999994,1426.7999999999997,1707.2,13087.300000000001,1041.8,17755.300000000003
MONMOUTH,Number of Arrests,4.0,27.0,93.0,268.0,156.0,797.0,27.0,1372.0
MONMOUTH,Number of Clearances,2.0,28.0,62.0,251.0,122.0,851.0,35.0,1351.0
MONMOUTH,Number of Offenses,1.0,76.0,138.0,385.0,535.0,4688.0,337.0,6160.0
MONMOUTH,Percent Cleared,0.0,795.0,1282.0,2844.0,1213.0,952.0,327.0,1271.0
MONMOUTH,"Rate Per 100,000",6.4,612.1,795.1,2666.2,5207.9,42868.90000000001,4571.9,56728.00000000001
MORRIS,Number of Arrests,3.0,7.0,30.0,97.0,53.0,331.0,11.0,532.0
MORRIS,Number of Clearances,2.0,4.0,18.0,84.0,31.0,223.0,8.0,370.0
MORRIS,Number of Offenses,3.0,16.0,27.0,107.0,291.0,1667.0,178.0,2289.0
MORRIS,Percent Cleared,200.0,233.0,933.0,2076.0,447.0,562.0,130.0,1027.0
MORRIS,"Rate Per 100,000",16.5,166.7,204.9,879.0999999999998,2724.9999999999995,14550.300000000001,1648.1999999999998,20190.499999999996
OCEAN,Number of Arrests,7.0,6.0,34.0,186.0,105.0,415.0,9.0,762.0
OCEAN,Number of Clearances,6.0,14.0,29.0,239.0,122.0,514.0,32.0,956.0
OCEAN,Number of Offenses,5.0,45.0,66.0,300.0,512.0,2988.0,147.0,4063.0
OCEAN,Percent Cleared,400.0,454.0,616.0,1883.0,675.0,626.0,721.0,881.0
OCEAN,"Rate Per 100,000",9.899999999999999,268.5,572.9000000000001,2173.8999999999996,3723.5999999999995,29366.9,3250.7999999999997,39366.700000000004
PASSAIC,Number of Arrests,6.0,5.0,68.0,460.0,123.0,422.0,38.0,1122.0
PASSAIC,Number of Clearances,6.0,6.0,64.0,428.0,84.0,347.0,15.0,950.0
PASSAIC,Number of Offenses,21.0,53.0,400.0,984.0,667.0,3525.0,454.0,6104.0
PASSAIC,Percent Cleared,121.0,240.0,341.0,955.0,432.0,285.0,36.0,344.0
PASSAIC,"Rate Per 100,000",15.7,80.7,390.3,1293.1,1130.1,9301.4,942.0000000000001,13153.2
SALEM,Number of Arrests,2.0,3.0,19.0,21.0,38.0,136.0,11.0,230.0
SALEM,Number of Clearances,6.0,7.0,15.0,26.0,51.0,179.0,16.0,300.0
SALEM,Number of Offenses,11.0,20.0,40.0,85.0,164.0,463.0,52.0,835.0
SALEM,Percent Cleared,138.0,220.0,258.0,193.0,242.0,534.0,164.0,410.0
SALEM,"Rate Per 100,000",231.9,330.09999999999997,672.1999999999999,1564.6,2594.8999999999996,6705.4,806.3,12905.199999999999
SOMERSET,Number of Arrests,4.0,4.0,20.0,27.0,33.0,209.0,3.0,300.0
SOMERSET,Number of Clearances,2.0,2.0,9.0,30.0,23.0,222.0,4.0,292.0
SOMERSET,Number of Offenses,3.0,16.0,39.0,52.0,230.0,1513.0,138.0,1991.0
SOMERSET,Percent Cleared,150.0,75.0,236.0,755.0,261.0,260.0,190.0,390.0
SOMERSET,"Rate Per 100,000",5.2,81.6,151.6,190.6,1329.1,9442.7,934.8000000000001,12135.7
SUSSEX,Number of Arrests,1.0,5.0,0.0,26.0,17.0,60.0,5.0,114.0
SUSSEX,Number of Clearances,1.0,3.0,0.0,24.0,7.0,66.0,7.0,108.0
SUSSEX,Number of Offenses,1.0,13.0,1.0,32.0,77.0,289.0,25.0,438.0
SUSSEX,Percent Cleared,100.0,100.0,0.0,743.0,170.0,309.0,375.0,376.0
SUSSEX,"Rate Per 100,000",7.1,61.7,12.8,327.1,560.3,2747.8,171.9,3888.7999999999997
UNION,Number of Arrests,15.0,15.0,67.0,304.0,99.0,530.0,27.0,1057.0
UNION,Number of Clearances,11.0,16.0,62.0,316.0,75.0,535.0,14.0,1029.0
UNION,Number of Offenses,21.0,68.0,327.0,621.0,591.0,4431.0,899.0,6958.0
UNION,Percent Cleared,214.0,442.0,329.0,1228.0,284.0,281.0,55.0,421.0
UNION,"Rate Per 100,000",32.8,203.29999999999998,494.6000000000001,1065.5,1668.9000000000003,11832.700000000003,1945.8,17244.199999999997
WARREN,Number of Arrests,0.0,4.0,6.0,25.0,10.0,123.0,8.0,176.0
WARREN,Number of Clearances,0.0,5.0,2.0,17.0,7.0,139.0,5.0,175.0
WARREN,Number of Offenses,0.0,13.0,11.0,36.0,86.0,569.0,31.0,746.0
WARREN,Percent Cleared,0.0,45.0,33.0,575.0,134.0,328.0,237.0,341.0
WARREN,"Rate Per 100,000",0.0,111.0,109.4,376.1,1154.6999999999998,9135.1,338.50000000000006,11224.7
