year,county,price
2007,Atlantic ,291331.67
2007,Bergen ,514284.33
2007,Burlington ,296076.42
2007,Camden ,229926.92
2007,Cape May ,417242.17
2007,Cumberland ,212779.33
2007,Essex ,436113.83
2007,Gloucester ,256426.42
2007,Hudson ,475145.5
2007,Hunterdon ,459844.08
2007,Mercer ,316812.83
2007,Middlesex ,378119.25
2007,Monmouth ,463056.25
2007,Morris ,508294.83
2007,Ocean ,351915.67
2007,Passaic ,422465.92
2007,Salem ,
2007,Somerset ,461657.75
2007,Sussex ,303185.0
2007,Union ,445302.67
2007,Warren ,348177.75
2008,Atlantic ,267769.83
2008,Bergen ,483851.58
2008,Burlington ,276819.83
2008,Camden ,219951.75
2008,Cape May ,410219.33
2008,Cumberland ,204763.83
2008,Essex ,412194.83
2008,Gloucester ,246501.0
2008,Hudson ,452135.67
2008,Hunterdon ,430854.42
2008,Mercer ,293374.42
2008,Middlesex ,354842.67
2008,Monmouth ,435484.33
2008,Morris ,468647.92
2008,Ocean ,325838.92
2008,Passaic ,391092.42
2008,Salem ,
2008,Somerset ,434317.58
2008,Sussex ,280948.75
2008,Union ,409878.42
2008,Warren ,328499.75
2009,Atlantic ,233581.92
2009,Bergen ,456328.58
2009,Burlington ,255228.08
2009,Camden ,200332.0
2009,Cape May ,389663.25
2009,Cumberland ,188443.33
2009,Essex ,372014.83
2009,Gloucester ,227906.58
2009,Hudson ,391727.75
2009,Hunterdon ,393988.42
2009,Mercer ,268039.75
2009,Middlesex ,329158.92
2009,Monmouth ,404698.83
2009,Morris ,442791.67
2009,Ocean ,295617.92
2009,Passaic ,351308.25
2009,Salem ,
2009,Somerset ,410291.92
2009,Sussex ,253355.67
2009,Union ,362953.83
2009,Warren ,282146.5
2010,Atlantic ,221230.75
2010,Bergen ,447368.08
2010,Burlington ,245833.67
2010,Camden ,192939.67
2010,Cape May ,373225.83
2010,Cumberland ,170347.0
2010,Essex ,354167.42
2010,Gloucester ,218945.83
2010,Hudson ,359314.33
2010,Hunterdon ,388878.42
2010,Mercer ,262396.42
2010,Middlesex ,319464.33
2010,Monmouth ,393175.67
2010,Morris ,431090.75
2010,Ocean ,284452.92
2010,Passaic ,332866.33
2010,Salem ,
2010,Somerset ,403844.08
2010,Sussex ,250086.5
2010,Union ,352494.92
2010,Warren ,262783.83
2011,Atlantic ,205974.83
2011,Bergen ,428430.17
2011,Burlington ,227440.0
2011,Camden ,178546.25
2011,Cape May ,353139.33
2011,Cumberland ,165731.92
2011,Essex ,332755.5
2011,Gloucester ,201120.25
2011,Hudson ,326784.17
2011,Hunterdon ,369468.0
2011,Mercer ,239028.67
2011,Middlesex ,297848.75
2011,Monmouth ,376313.25
2011,Morris ,410486.08
2011,Ocean ,264466.17
2011,Passaic ,307468.5
2011,Salem ,
2011,Somerset ,385978.42
2011,Sussex ,239175.92
2011,Union ,325130.33
2011,Warren ,238278.33
2012,Atlantic ,194958.58
2012,Bergen ,412730.67
2012,Burlington ,215685.75
2012,Camden ,165492.0
2012,Cape May ,346823.17
2012,Cumberland ,160467.17
2012,Essex ,315721.75
2012,Gloucester ,191010.25
2012,Hudson ,318479.67
2012,Hunterdon ,354244.42
2012,Mercer ,223372.92
2012,Middlesex ,281452.42
2012,Monmouth ,358180.5
2012,Morris ,394941.0
2012,Ocean ,249704.83
2012,Passaic ,289847.83
2012,Salem ,
2012,Somerset ,372094.17
2012,Sussex ,214701.67
2012,Union ,310472.92
2012,Warren ,213837.58
2013,Atlantic ,191150.75
2013,Bergen ,426550.33
2013,Burlington ,217803.83
2013,Camden ,163183.58
2013,Cape May ,346024.58
2013,Cumberland ,146743.33
2013,Essex ,318672.17
2013,Gloucester ,192531.0
2013,Hudson ,338057.0
2013,Hunterdon ,360721.42
2013,Mercer ,227961.83
2013,Middlesex ,292220.33
2013,Monmouth ,369553.5
2013,Morris ,404922.58
2013,Ocean ,252781.42
2013,Passaic ,290298.17
2013,Salem ,
2013,Somerset ,379552.08
2013,Sussex ,223396.0
2013,Union ,315231.92
2013,Warren ,214842.0
2014,Atlantic ,194470.0
2014,Bergen ,443285.33
2014,Burlington ,219585.92
2014,Camden ,165242.5
2014,Cape May ,349033.25
2014,Cumberland ,140719.25
2014,Essex ,336149.75
2014,Gloucester ,194035.42
2014,Hudson ,364286.92
2014,Hunterdon ,379196.83
2014,Mercer ,232852.92
2014,Middlesex ,307306.67
2014,Monmouth ,388927.42
2014,Morris ,419256.92
2014,Ocean ,268527.92
2014,Passaic ,297582.25
2014,Salem ,
2014,Somerset ,397699.17
2014,Sussex ,233055.08
2014,Union ,330659.83
2014,Warren ,227108.33
2015,Atlantic ,186052.25
2015,Bergen ,452857.75
2015,Burlington ,220449.92
2015,Camden ,164507.33
2015,Cape May ,350412.33
2015,Cumberland ,138510.0
2015,Essex ,347547.17
2015,Gloucester ,198800.08
2015,Hudson ,383088.58
2015,Hunterdon ,380194.75
2015,Mercer ,235480.83
2015,Middlesex ,313988.83
2015,Monmouth ,392619.58
2015,Morris ,427850.08
2015,Ocean ,267801.42
2015,Passaic ,301986.33
2015,Salem ,
2015,Somerset ,396717.0
2015,Sussex ,233373.92
2015,Union ,333713.17
2015,Warren ,225512.5
2016,Atlantic ,175862.0
2016,Bergen ,464526.17
2016,Burlington ,220975.75
2016,Camden ,165169.0
2016,Cape May ,354809.5
2016,Cumberland ,137387.75
2016,Essex ,359407.75
2016,Gloucester ,198043.0
2016,Hudson ,409631.92
2016,Hunterdon ,376774.17
2016,Mercer ,236224.75
2016,Middlesex ,312580.0
2016,Monmouth ,397709.25
2016,Morris ,426382.17
2016,Ocean ,271486.08
2016,Passaic ,307548.67
2016,Salem ,140317.67
2016,Somerset ,404622.17
2016,Sussex ,230911.5
2016,Union ,339373.58
2016,Warren ,224050.08
2017,Atlantic ,176391.25
2017,Bergen ,478115.0
2017,Burlington ,224566.75
2017,Camden ,168415.83
2017,Cape May ,359288.42
2017,Cumberland ,137949.92
2017,Essex ,375687.25
2017,Gloucester ,199196.58
2017,Hudson ,439802.58
2017,Hunterdon ,384010.58
2017,Mercer ,238138.58
2017,Middlesex ,326545.75
2017,Monmouth ,410241.58
2017,Morris ,436397.25
2017,Ocean ,280263.17
2017,Passaic ,317023.83
2017,Salem ,143383.83
2017,Somerset ,410589.08
2017,Sussex ,230719.92
2017,Union ,359634.33
2017,Warren ,227948.67
2018,Atlantic ,185926.08
2018,Bergen ,491586.42
2018,Burlington ,230662.33
2018,Camden ,175142.5
2018,Cape May ,377710.58
2018,Cumberland ,139535.58
2018,Essex ,394743.33
2018,Gloucester ,204181.75
2018,Hudson ,469338.5
2018,Hunterdon ,390068.17
2018,Mercer ,248015.33
2018,Middlesex ,342557.75
2018,Monmouth ,431517.67
2018,Morris ,448941.75
2018,Ocean ,291129.33
2018,Passaic ,343506.5
2018,Salem ,152697.83
2018,Somerset ,422836.5
2018,Sussex ,243134.67
2018,Union ,378825.5
2018,Warren ,236254.33
2019,Atlantic ,196067.42
2019,Bergen ,494018.42
2019,Burlington ,238593.67
2019,Camden ,181980.75
2019,Cape May ,389294.58
2019,Cumberland ,137622.42
2019,Essex ,411933.58
2019,Gloucester ,207696.42
2019,Hudson ,479035.25
2019,Hunterdon ,395401.75
2019,Mercer ,254485.17
2019,Middlesex ,347639.83
2019,Monmouth ,441151.33
2019,Morris ,448991.33
2019,Ocean ,293645.83
2019,Passaic ,355420.92
2019,Salem ,136466.17
2019,Somerset ,426701.92
2019,Sussex ,255785.42
2019,Union ,387667.08
2019,Warren ,240479.92
2020,Atlantic ,209139.5
2020,Bergen ,509725.83
2020,Burlington ,248637.25
2020,Camden ,195003.58
2020,Cape May ,418736.5
2020,Cumberland ,145859.17
2020,Essex ,429602.33
2020,Gloucester ,217800.0
2020,Hudson ,493421.42
2020,Hunterdon ,399769.83
2020,Mercer ,263666.5
2020,Middlesex ,360032.67
2020,Monmouth ,458757.5
2020,Morris ,454983.17
2020,Ocean ,304653.67
2020,Passaic ,372590.5
2020,Salem ,144896.58
2020,Somerset ,434178.75
2020,Sussex ,265837.5
2020,Union ,408067.08
2020,Warren ,255353.17
2021,Atlantic ,229061.0
2021,Bergen ,539979.5
2021,Burlington ,265925.0
2021,Camden ,214908.5
2021,Cape May ,458681.5
2021,Cumberland ,163940.0
2021,Essex ,465048.0
2021,Gloucester ,236090.5
2021,Hudson ,513213.5
2021,Hunterdon ,424594.0
2021,Mercer ,279059.0
2021,Middlesex ,377919.5
2021,Monmouth ,503183.5
2021,Morris ,482934.0
2021,Ocean ,332604.0
2021,Passaic ,397534.5
2021,Salem ,160444.0
2021,Somerset ,455499.0
2021,Sussex ,289567.0
2021,Union ,435891.0
2021,Warren ,277534.0
